,Category,Product_Name,Current_Stock_Level,Reorder_Level,Required_Restock_Units
0,Beverages & Chillers,Coca-Cola 50cl,3,40,147
1,Beverages & Chillers,Coca-Cola 50cl,8,40,142
2,Beverages & Chillers,Coca-Cola 50cl,13,40,137
3,Beverages & Chillers,Coca-Cola 50cl,14,40,136
4,Beverages & Chillers,Coca-Cola 50cl,17,40,133
5,Beverages & Chillers,Coca-Cola 50cl,23,40,127
6,Beverages & Chillers,Coca-Cola 50cl,28,40,122
7,Beverages & Chillers,Coca-Cola 50cl,33,40,117
8,Beverages & Chillers,Coca-Cola 50cl,37,40,113
9,Beverages & Chillers,Coca-Cola 50cl,39,40,111
10,Beverages & Chillers,Eva Water 75cl,16,40,134
11,Beverages & Chillers,Eva Water 75cl,20,40,130
12,Beverages & Chillers,Eva Water 75cl,31,40,119
13,Beverages & Chillers,Eva Water 75cl,32,40,118
14,Beverages & Chillers,Eva Water 75cl,34,40,116
15,Beverages & Chillers,Eva Water 75cl,35,40,115
16,Beverages & Chillers,Eva Water 75cl,36,40,114
17,Beverages & Chillers,Hollandia Yoghurt 1L,0,40,150
18,Beverages & Chillers,Hollandia Yoghurt 1L,2,40,148
19,Beverages & Chillers,Hollandia Yoghurt 1L,9,40,141
20,Beverages & Chillers,Hollandia Yoghurt 1L,20,40,130
21,Beverages & Chillers,Hollandia Yoghurt 1L,28,40,122
22,Beverages & Chillers,Hollandia Yoghurt 1L,31,40,119
23,Beverages & Chillers,Hollandia Yoghurt 1L,32,40,118
24,Beverages & Chillers,Hollandia Yoghurt 1L,36,40,114
25,Beverages & Chillers,Hollandia Yoghurt 1L,37,40,113
26,Beverages & Chillers,Hollandia Yoghurt 1L,39,40,111
27,Beverages & Chillers,Malta Guinness 33cl,15,40,135
28,Beverages & Chillers,Malta Guinness 33cl,16,40,134
29,Beverages & Chillers,Malta Guinness 33cl,26,40,124
30,Beverages & Chillers,Malta Guinness 33cl,27,40,123
31,Beverages & Chillers,Malta Guinness 33cl,30,40,120
32,Beverages & Chillers,Malta Guinness 33cl,31,40,119
33,FMCG / Provisions,Dano Milk Refill,3,40,147
34,FMCG / Provisions,Dano Milk Refill,4,40,146
35,FMCG / Provisions,Dano Milk Refill,5,40,145
36,FMCG / Provisions,Dano Milk Refill,6,40,144
37,FMCG / Provisions,Dano Milk Refill,9,40,141
38,FMCG / Provisions,Dano Milk Refill,11,40,139
39,FMCG / Provisions,Dano Milk Refill,12,40,138
40,FMCG / Provisions,Dano Milk Refill,16,40,134
41,FMCG / Provisions,Dano Milk Refill,27,40,123
42,FMCG / Provisions,Dano Milk Refill,28,40,122
43,FMCG / Provisions,Dano Milk Refill,30,40,120
44,FMCG / Provisions,Dano Milk Refill,31,40,119
45,FMCG / Provisions,Dano Milk Refill,33,40,117
46,FMCG / Provisions,Dano Milk Refill,34,40,116
47,FMCG / Provisions,Dano Milk Refill,37,40,113
48,FMCG / Provisions,Milo 400g,13,40,137
49,FMCG / Provisions,Milo 400g,19,40,131
50,FMCG / Provisions,Milo 400g,21,40,129
51,FMCG / Provisions,Milo 400g,24,40,126
52,FMCG / Provisions,Milo 400g,26,40,124
53,FMCG / Provisions,Milo 400g,29,40,121
54,FMCG / Provisions,Milo 400g,30,40,120
55,FMCG / Provisions,Milo 400g,35,40,115
56,FMCG / Provisions,Peak Milk 400g,0,40,150
57,FMCG / Provisions,Peak Milk 400g,8,40,142
58,FMCG / Provisions,Peak Milk 400g,15,40,135
59,FMCG / Provisions,Peak Milk 400g,17,40,133
60,FMCG / Provisions,Peak Milk 400g,22,40,128
61,FMCG / Provisions,Peak Milk 400g,24,40,126
62,FMCG / Provisions,Peak Milk 400g,27,40,123
63,FMCG / Provisions,Peak Milk 400g,30,40,120
64,FMCG / Provisions,Peak Milk 400g,32,40,118
65,FMCG / Provisions,Three Crowns 380g,1,40,149
66,FMCG / Provisions,Three Crowns 380g,2,40,148
67,FMCG / Provisions,Three Crowns 380g,8,40,142
68,FMCG / Provisions,Three Crowns 380g,11,40,139
69,FMCG / Provisions,Three Crowns 380g,16,40,134
70,FMCG / Provisions,Three Crowns 380g,26,40,124
71,FMCG / Provisions,Three Crowns 380g,29,40,121
72,FMCG / Provisions,Three Crowns 380g,30,40,120
73,FMCG / Provisions,Three Crowns 380g,33,40,117
74,FMCG / Provisions,Three Crowns 380g,37,40,113
75,Grains & Staples,Dangote Sugar 1kg,0,40,150
76,Grains & Staples,Dangote Sugar 1kg,2,40,148
77,Grains & Staples,Dangote Sugar 1kg,4,40,146
78,Grains & Staples,Dangote Sugar 1kg,6,40,144
79,Grains & Staples,Dangote Sugar 1kg,9,40,141
80,Grains & Staples,Dangote Sugar 1kg,11,40,139
81,Grains & Staples,Dangote Sugar 1kg,14,40,136
82,Grains & Staples,Dangote Sugar 1kg,16,40,134
83,Grains & Staples,Dangote Sugar 1kg,17,40,133
84,Grains & Staples,Dangote Sugar 1kg,22,40,128
85,Grains & Staples,Dangote Sugar 1kg,28,40,122
86,Grains & Staples,Dangote Sugar 1kg,31,40,119
87,Grains & Staples,Dangote Sugar 1kg,36,40,114
88,Grains & Staples,Dangote Sugar 1kg,38,40,112
89,Grains & Staples,Golden Penny Spaghetti,4,40,146
90,Grains & Staples,Golden Penny Spaghetti,11,40,139
91,Grains & Staples,Golden Penny Spaghetti,13,40,137
92,Grains & Staples,Golden Penny Spaghetti,14,40,136
93,Grains & Staples,Golden Penny Spaghetti,21,40,129
94,Grains & Staples,Golden Penny Spaghetti,26,40,124
